euclidean, 7, 3.62095186546e-05, 0.622275, 6
minkowski-0.5n, 7, 1.97765038337e-05, 0.620524, 6
minkowski-n, 7, 6.58006122478e-06, 0.689789999999, 6
seuclidean, 7, 1.37223203467e-05, 37.487766, 298
sqeuclidean, 7, 0.00139245175221, 0.738679, 6
canberra, 7, 0.0, 0.938372, 10
chebyshev, 7, 9.39426854529e-07, 0.659737, 7
cityblock, 7, 0.000220547096006, 0.710285, 7
cosine, 7, nan, 257.304275, 58
euclidean, 7, 5.69350165875e-05, 0.738348, 7
minkowski-0.5n, 7, 3.194731039e-05, 0.721777, 7
minkowski-n, 7, 1.55048046793e-05, 0.756530000001, 7
seuclidean, 7, 1.20871528537e-05, 48.890668, 360
sqeuclidean, 7, 0.00138681265346, 0.749256, 6
